ds,y
2020-07-04 00:00:00,23096732
2020-07-04 01:00:00,14652658
2020-07-04 02:00:00,9348093
2020-07-04 03:00:00,6821523
2020-07-04 04:00:00,6570093
2020-07-04 05:00:00,8293400
2020-07-04 06:00:00,11670927
2020-07-04 07:00:00,16332369
2020-07-04 08:00:00,21272243
2020-07-04 09:00:00,26770500
2020-07-04 10:00:00,29201064
2020-07-04 11:00:00,30294666
2020-07-04 12:00:00,30362316
2020-07-04 13:00:00,30319127
2020-07-04 14:00:00,29959520
2020-07-04 15:00:00,29633560
2020-07-04 16:00:00,29976418
2020-07-04 17:00:00,29806166
2020-07-04 18:00:00,31011962
2020-07-04 19:00:00,32169116
2020-07-04 20:00:00,34060751
2020-07-04 21:00:00,35704370
2020-07-04 22:00:00,35474607
2020-07-04 23:00:00,30733177
2020-07-05 00:00:00,22447513
2020-07-05 01:00:00,14777479
2020-07-05 02:00:00,9353912
2020-07-05 03:00:00,6711979
2020-07-05 04:00:00,6226586
2020-07-05 05:00:00,7557834
2020-07-05 06:00:00,10493617
2020-07-05 07:00:00,15042281
2020-07-05 08:00:00,20352220
2020-07-05 09:00:00,25408964
2020-07-05 10:00:00,28938370
2020-07-05 11:00:00,30490505
2020-07-05 12:00:00,30761716
2020-07-05 13:00:00,30848549
2020-07-05 14:00:00,30753758
2020-07-05 15:00:00,30490339
2020-07-05 16:00:00,31185524
2020-07-05 17:00:00,32939909
2020-07-05 18:00:00,33154796
2020-07-05 19:00:00,34210802
2020-07-05 20:00:00,35921549
2020-07-05 21:00:00,37548964
2020-07-05 22:00:00,37562627
2020-07-05 23:00:00,31480336
2020-07-06 00:00:00,21691240
2020-07-06 01:00:00,13423360
2020-07-06 02:00:00,8543357
2020-07-06 03:00:00,6459525
2020-07-06 04:00:00,6797220
2020-07-06 05:00:00,9032387
2020-07-06 06:00:00,13242447
2020-07-06 07:00:00,18351082
2020-07-06 08:00:00,22868117
2020-07-06 09:00:00,26628627
2020-07-06 10:00:00,29512639
2020-07-06 11:00:00,30894295
2020-07-06 12:00:00,31457763
2020-07-06 13:00:00,31908479
2020-07-06 14:00:00,32930829
2020-07-06 15:00:00,32861856
2020-07-06 16:00:00,32768913
2020-07-06 17:00:00,33507910
2020-07-06 18:00:00,35953790
2020-07-06 19:00:00,37330164
2020-07-06 20:00:00,38992086
2020-07-06 21:00:00,40726129
2020-07-06 22:00:00,39972942
2020-07-06 23:00:00,33177232
2020-07-07 00:00:00,23087455
2020-07-07 01:00:00,14061903
2020-07-07 02:00:00,8931607
2020-07-07 03:00:00,6877186
2020-07-07 04:00:00,7274102
2020-07-07 05:00:00,9876580
2020-07-07 06:00:00,14817800
2020-07-07 07:00:00,20041587
2020-07-07 08:00:00,24139473
